publications,Year,Academic_discipline,Concept
49147,2005,ALL,Computer vision
79834.98588,2023,ALL,Computer vision
18457,2000,ALL,Computer vision
106079,2022,ALL,Computer vision
107697,2021,ALL,Computer vision
98241,2020,ALL,Computer vision
99956,2019,ALL,Computer vision
19872,2001,ALL,Computer vision
89747,2018,ALL,Computer vision
80933,2017,ALL,Computer vision
80065,2016,ALL,Computer vision
81684,2015,ALL,Computer vision
50076,2002,ALL,Computer vision
80242,2014,ALL,Computer vision
81561,2013,ALL,Computer vision
78430,2012,ALL,Computer vision
75998,2011,ALL,Computer vision
39023,2003,ALL,Computer vision
74539,2010,ALL,Computer vision
67324,2009,ALL,Computer vision
60039,2008,ALL,Computer vision
56366,2007,ALL,Computer vision
38454,2004,ALL,Computer vision
54961,2006,ALL,Computer vision
8766,2000,ALL,Artificial neural network
23735,2010,ALL,Artificial neural network
72705.11299,2023,ALL,Artificial neural network
96021,2022,ALL,Artificial neural network
93343,2021,ALL,Artificial neural network
9023,2001,ALL,Artificial neural network
20516,2006,ALL,Artificial neural network
76532,2020,ALL,Artificial neural network
63633,2019,ALL,Artificial neural network
49312,2018,ALL,Artificial neural network
35005,2017,ALL,Artificial neural network
19556,2007,ALL,Artificial neural network
24971,2002,ALL,Artificial neural network
28378,2016,ALL,Artificial neural network
24931,2015,ALL,Artificial neural network
18401,2005,ALL,Artificial neural network
20829,2008,ALL,Artificial neural network
24647,2014,ALL,Artificial neural network
14902,2004,ALL,Artificial neural network
24322,2013,ALL,Artificial neural network
16776,2003,ALL,Artificial neural network
23120,2009,ALL,Artificial neural network
23834,2012,ALL,Artificial neural network
23951,2011,ALL,Artificial neural network
10695,2002,ALL,Natural language processing
24333,2014,ALL,Natural language processing
18283,2009,ALL,Natural language processing
31952.9661,2023,ALL,Natural language processing
9816,2003,ALL,Natural language processing
20740,2010,ALL,Natural language processing
40531,2022,ALL,Natural language processing
6771,2000,ALL,Natural language processing
45779,2021,ALL,Natural language processing
12480,2005,ALL,Natural language processing
21202,2011,ALL,Natural language processing
43574,2020,ALL,Natural language processing
38875,2019,ALL,Natural language processing
11350,2004,ALL,Natural language processing
33699,2018,ALL,Natural language processing
22844,2012,ALL,Natural language processing
6754,2001,ALL,Natural language processing
16682,2008,ALL,Natural language processing
14459,2006,ALL,Natural language processing
27476,2017,ALL,Natural language processing
23268,2013,ALL,Natural language processing
27112,2016,ALL,Natural language processing
30469,2015,ALL,Natural language processing
15117,2007,ALL,Natural language processing
18704,2009,ALL,Robot
15523,2007,ALL,Robot
23169,2014,ALL,Robot
37180,2022,ALL,Robot
20577,2010,ALL,Robot
11129,2003,ALL,Robot
11153,2004,ALL,Robot
23364,2015,ALL,Robot
36954,2021,ALL,Robot
4714,2000,ALL,Robot
33942,2020,ALL,Robot
23475,2013,ALL,Robot
24083,2016,ALL,Robot
16057,2006,ALL,Robot
21820,2011,ALL,Robot
5147,2001,ALL,Robot
17142,2002,ALL,Robot
26143,2017,ALL,Robot
14084,2005,ALL,Robot
32608,2019,ALL,Robot
22144,2012,ALL,Robot
16851,2008,ALL,Robot
29506,2018,ALL,Robot
26558.38983,2023,ALL,Robot
2048,2012,ALL,Automation
664,2001,ALL,Automation
1837,2009,ALL,Automation
3018,2018,ALL,Automation
1405,2006,ALL,Automation
4226,2020,ALL,Automation
2217,2013,ALL,Automation
2283,2017,ALL,Automation
1390,2007,ALL,Automation
1059,2003,ALL,Automation
5208,2021,ALL,Automation
2069,2016,ALL,Automation
2102,2011,ALL,Automation
1037,2004,ALL,Automation
1537,2008,ALL,Automation
5337,2022,ALL,Automation
1524,2002,ALL,Automation
2194,2015,ALL,Automation
2204,2014,ALL,Automation
1290,2005,ALL,Automation
3704.646893,2023,ALL,Automation
587,2000,ALL,Automation
1952,2010,ALL,Automation
3703,2019,ALL,Automation
